,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,solar,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
0,77.29,0.19,65.24,0.68,partly-cloudy-night,,,,rain,,,Partly Cloudy,76.74,2018-07-09 00:00:00,0,6.216,266,,4.04
1,76.28,,64.36,0.68,clear-night,,,,rain,,,Clear,75.82,2018-07-09 01:00:00,0,6.216,290,,3.36
2,75.28,,63.48,0.68,clear-night,,,,rain,,,Clear,74.91,2018-07-09 02:00:00,0,6.216,261,,3.36
3,74.3,0.19,62.59,0.68,partly-cloudy-night,,,,rain,,,Partly Cloudy,74.03,2018-07-09 03:00:00,0,6.216,251,,1.72
4,74.11,0.19,60.84,0.63,partly-cloudy-night,,,,rain,,,Partly Cloudy,74.03,2018-07-09 04:00:00,0,6.216,310,,3.44
5,72.31,,60.84,0.67,clear-night,,,,rain,,,Clear,72.22,2018-07-09 05:00:00,0,6.216,306,,5.24
6,71.61,0.19,62.59,0.74,partly-cloudy-night,,,,rain,,,Partly Cloudy,71.3,2018-07-09 06:00:00,0,6.216,311,,5.65
7,71.3,0.19,59.92,0.67,partly-cloudy-day,,,,rain,,"{'azimuth': 64, 'altitude': 5, 'dni': 187.4, 'ghi': 16.9, 'dhi': 1.5, 'etr': 1316.5}",Partly Cloudy,71.3,2018-07-09 07:00:00,0,6.216,293,,4.56
8,76.13,0.19,62.59,0.64,partly-cloudy-day,,,,rain,,"{'azimuth': 73, 'altitude': 15, 'dni': 516, 'ghi': 148.7, 'dhi': 13.5, 'etr': 1316.5}",Partly Cloudy,75.86,2018-07-09 08:00:00,0,6.216,305,,5.65
9,81.47,0.19,61.72,0.53,partly-cloudy-day,,,,rain,,"{'azimuth': 82, 'altitude': 26, 'dni': 667.5, 'ghi': 323.9, 'dhi': 29.4, 'etr': 1316.5}",Partly Cloudy,80.38,2018-07-09 09:00:00,2,6.216,320,,2.84
10,85.7,0.19,67.0,0.58,partly-cloudy-day,,,,rain,,"{'azimuth': 92, 'altitude': 37, 'dni': 751.9, 'ghi': 502.2, 'dhi': 45.7, 'etr': 1316.5}",Partly Cloudy,83.08,2018-07-09 10:00:00,3,6.216,254,,3.41
11,88.17,0.19,67.87,0.57,partly-cloudy-day,,,,rain,,"{'azimuth': 103, 'altitude': 49, 'dni': 802.6, 'ghi': 661.5, 'dhi': 60.1, 'etr': 1316.5}",Partly Cloudy,84.95,2018-07-09 11:00:00,5,6.216,197,,5.06
12,89.74,0.19,68.75,0.57,partly-cloudy-day,,,,rain,,"{'azimuth': 119, 'altitude': 59, 'dni': 833.1, 'ghi': 785.7, 'dhi': 71.4, 'etr': 1316.5}",Partly Cloudy,85.86,2018-07-09 12:00:00,7,6.216,174,,10.33
13,92.86,0.19,68.75,0.52,partly-cloudy-day,,,,rain,,"{'azimuth': 144, 'altitude': 68, 'dni': 849.4, 'ghi': 863.4, 'dhi': 78.5, 'etr': 1316.5}",Partly Cloudy,88.59,2018-07-09 13:00:00,9,6.216,195,,9.18
14,93.31,0.19,67.97,0.49,partly-cloudy-day,,,,rain,,"{'azimuth': 182, 'altitude': 71, 'dni': 854.2, 'ghi': 887.9, 'dhi': 80.7, 'etr': 1316.5}",Partly Cloudy,89.46,2018-07-09 14:00:00,9,6.216,201,,9.76
15,95.36,0.19,70.6,0.54,partly-cloudy-day,,,,rain,,"{'azimuth': 220, 'altitude': 67, 'dni': 848.2, 'ghi': 857.1, 'dhi': 77.9, 'etr': 1316.5}",Partly Cloudy,89.46,2018-07-09 15:00:00,9,6.216,182,,13.15
16,95.4,0.19,70.63,0.54,partly-cloudy-day,,,,rain,,"{'azimuth': 243, 'altitude': 58, 'dni': 830.4, 'ghi': 773.6, 'dhi': 70.3, 'etr': 1316.6}",Partly Cloudy,89.46,2018-07-09 16:00:00,7,6.216,192,,14.94
17,94.63,0.19,69.72,0.52,partly-cloudy-day,,,,rain,,"{'azimuth': 258, 'altitude': 47, 'dni': 798, 'ghi': 644.7, 'dhi': 58.6, 'etr': 1316.6}",Partly Cloudy,89.46,2018-07-09 17:00:00,5,6.216,197,,15.51
18,93.91,0.19,68.79,0.51,partly-cloudy-day,,,,rain,,"{'azimuth': 269, 'altitude': 36, 'dni': 744.2, 'ghi': 482.3, 'dhi': 43.8, 'etr': 1316.6}",Partly Cloudy,89.46,2018-07-09 18:00:00,3,6.216,211,,15.98
19,91.1,0.19,66.08,0.47,partly-cloudy-day,,,,rain,,"{'azimuth': 279, 'altitude': 25, 'dni': 654.4, 'ghi': 302.9, 'dhi': 27.5, 'etr': 1316.6}",Partly Cloudy,88.59,2018-07-09 19:00:00,1,6.216,228,,13.69
20,88.71,0.32,68.93,0.59,partly-cloudy-day,,,,rain,,"{'azimuth': 288, 'altitude': 14, 'dni': 456.8, 'ghi': 120.9, 'dhi': 11, 'etr': 1316.6}",Partly Cloudy,84.88,2018-07-09 20:00:00,0,6.216,240,,13.69
21,85.91,0.32,69.81,0.66,partly-cloudy-day,,,,rain,,"{'azimuth': 297, 'altitude': 4, 'dni': 118.4, 'ghi': 8, 'dhi': 0.7, 'etr': 1316.6}",Partly Cloudy,82.15,2018-07-09 21:00:00,0,6.216,161,,10.83
22,84.74,0.32,69.77,0.68,partly-cloudy-night,,,,rain,,,Partly Cloudy,81.25,2018-07-09 22:00:00,0,6.216,166,,7.5
23,78.93,0.32,71.56,0.82,partly-cloudy-night,,,,rain,,,Partly Cloudy,77.63,2018-07-09 23:00:00,0,6.216,46,,7.5
24,77.91,0.19,70.63,0.82,partly-cloudy-night,,,,rain,,,Partly Cloudy,76.71,2018-07-10 00:00:00,0,6.216,93,,5.24
25,77.17,0.19,71.56,0.87,partly-cloudy-night,,,,rain,,,Partly Cloudy,75.82,2018-07-10 01:00:00,0,6.216,281,,1.1
26,77.05,0.19,70.63,0.84,partly-cloudy-night,,,,rain,,,Partly Cloudy,75.82,2018-07-10 02:00:00,0,6.216,281,,1.1
27,75.59,0.44,66.21,0.74,partly-cloudy-night,,,,rain,,,Partly Cloudy,74.91,2018-07-10 03:00:00,0,6.216,357,,3.44
